use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W120P90.0,120,90.0,Stacking Regressor,2015/07/31,2015/04/03,96336,96336,24084,24084,15.29808000009507,0.0687389001250267,416.13103496753723,0.9716832335625589
W120P75.0,120,75.0,Linear Regression,2015/07/31,2015/04/03,80280,80280,20070,20070,0.5131079000420868,0.014972900040447712,979.3265372192631,0.8660360706417901
W120P75.0,120,75.0,Decision Tree Regressor,2015/07/31,2015/04/03,80280,80280,20070,20070,2.902316799852997,0.01549690030515194,876.8946638228555,0.8864608892844766
W120P75.0,120,75.0,Lasso,2015/07/31,2015/04/03,80280,80280,20070,20070,0.41677040001377463,0.011802500113844872,979.6631153792406,0.8660475688348523
W120P75.0,120,75.0,Random Forest Regressor,2015/07/31,2015/04/03,80280,80280,20070,20070,19.00334980012849,0.07155440002679825,692.3621275535626,0.9300457727162474
W120P75.0,120,75.0,Stacking Regressor,2015/07/31,2015/04/03,80280,80280,20070,20070,12.695210199803114,0.0425758003257215,439.3475823507306,0.9699843676370494
W120P50.0,120,50.0,Linear Regression,2015/07/31,2015/04/03,53520,53520,13380,13380,0.28679419960826635,0.009188199881464243,971.6258252552494,0.8635152918857735
W120P50.0,120,50.0,Decision Tree Regressor,2015/07/31,2015/04/03,53520,53520,13380,13380,1.5658213002607226,0.01392779964953661,915.3975973512318,0.8691083431179323
W120P50.0,120,50.0,Lasso,2015/07/31,2015/04/03,53520,53520,13380,13380,0.29851850029081106,0.00881560007110238,971.9122126208099,0.8635351795114731
W120P50.0,120,50.0,Random Forest Regressor,2015/07/31,2015/04/03,53520,53520,13380,13380,11.320286999922246,0.040962900035083294,721.0475037369207,0.9205314950344042
W120P50.0,120,50.0,Stacking Regressor,2015/07/31,2015/04/03,53520,53520,13380,13380,8.977585300337523,0.03018609993159771,476.51402065121874,0.9642226570929231
W120P25.0,120,25.0,Linear Regression,2015/07/31,2015/04/03,26760,26760,6690,6690,0.13103160029277205,0.007180000189691782,973.7476243741949,0.8645506450094097
W120P25.0,120,25.0,Decision Tree Regressor,2015/07/31,2015/04/03,26760,26760,6690,6690,0.6836995999328792,0.006277699954807758,1005.6559949530074,0.8464814830408419
W120P25.0,120,25.0,Lasso,2015/07/31,2015/04/03,26760,26760,6690,6690,0.1262245001271367,0.005391299724578857,974.0196505392917,0.8645520000989255
W120P25.0,120,25.0,Random Forest Regressor,2015/07/31,2015/04/03,26760,26760,6690,6690,5.553988100029528,0.039028100203722715,779.2893423019431,0.9071889610614086
W120P25.0,120,25.0,Stacking Regressor,2015/07/31,2015/04/03,26760,26760,6690,6690,4.920508900191635,0.015410500112921,558.1098741944364,0.9516129962284611
W120P10.0,120,10.0,Linear Regression,2015/07/31,2015/04/03,10704,10704,2676,2676,0.08223589975386858,0.006824699696153402,994.8240645313465,0.8594239831077913
W120P10.0,120,10.0,Decision Tree Regressor,2015/07/31,2015/04/03,10704,10704,2676,2676,0.35813899990171194,0.005473699886351824,1101.1031063888151,0.8220732477007222
W120P10.0,120,10.0,Lasso,2015/07/31,2015/04/03,10704,10704,2676,2676,0.06176640000194311,0.003496399614959955,994.8990470777967,0.8594805338742756
W120P10.0,120,10.0,Random Forest Regressor,2015/07/31,2015/04/03,10704,10704,2676,2676,1.8828850002028048,0.00865969993174076,856.786509715994,0.8946432954766321
W120P10.0,120,10.0,Stacking Regressor,2015/07/31,2015/04/03,10704,10704,2676,2676,1.7389663998037577,0.0074360002763569355,653.0009037697564,0.9382411518282405
